caption_sentence,cleaned_tokens
Or am I hungry?<00:06:31.199><c> Or</c><00:06:31.199><c> a</c><00:06:31.360><c> million</c><00:06:31.520><c> other</c><00:06:31.759><c> thoughts</c><00:06:31.919><c> that</c> hungry?,"['hungry', 'million', 'thought', 'hungry']"
Or a million other thoughts that hungry?,"['million', 'thought', 'hungry']"
Or a million other thoughts that pop<00:06:32.319><c> into</c><00:06:32.479><c> your</c><00:06:32.720><c> head.</c><00:06:33.120><c> It's</c><00:06:33.440><c> not</c><00:06:33.600><c> a</c><00:06:33.840><c> memory</c> pop into your head.,"['million', 'thought', 'pop', 'head', 'memory', 'pop', 'head']"
It's not a memory pop into your head.,"['memory', 'pop', 'head']"
It's not a memory issue.<00:06:34.960><c> You</c><00:06:35.199><c> didn't</c><00:06:35.360><c> forget</c><00:06:35.680><c> the</c><00:06:35.840><c> name.</c><00:06:36.160><c> You</c> issue.,"['memory', 'issue', 'didnt', 'forget', 'name', 'issue']"
You didn't forget the name.,"['didnt', 'forget', 'name']"
You issue.,['issue']
You didn't forget the name.,"['didnt', 'forget', 'name']"
You never<00:06:36.560><c> knew</c><00:06:36.720><c> it.</c><00:06:37.199><c> Imagine</c><00:06:37.759><c> I</c><00:06:37.919><c> give</c><00:06:38.080><c> you</c><00:06:38.240><c> a</c><00:06:38.400><c> twig</c> never knew it.,"['never', 'knew', 'imagine', 'give', 'twig', 'never', 'knew']"
Imagine I give you a twig never knew it.,"['imagine', 'give', 'twig', 'never', 'knew']"
Imagine I give you a twig and<00:06:40.880><c> I</c><00:06:41.039><c> tell</c><00:06:41.120><c> you</c><00:06:41.360><c> write</c><00:06:41.600><c> my</c><00:06:41.759><c> name</c><00:06:42.000><c> in</c><00:06:42.240><c> the</c><00:06:42.319><c> sand</c> and I tell you write my name in the sand and I tell you write my name in the sand at<00:06:42.720><c> the</c><00:06:42.880><c> beach</c><00:06:43.199><c> and</c><00:06:43.360><c> you</c><00:06:43.600><c> try</c><00:06:43.840><c> with</c><00:06:44.000><c> the</c><00:06:44.160><c> twig</c> at the beach and you try with the twig at the beach and you try with the twig first<00:06:44.720><c> wave</c><00:06:45.199><c> washes</c><00:06:45.600><c> it</c><00:06:45.759><c> away.</c><00:06:46.240><c> But</c><00:06:46.319><c> if</c><00:06:46.479><c> I</c><00:06:46.639><c> give</c> first wave washes it away.,"['imagine', 'give', 'twig', 'tell', 'write', 'name', 'sand', 'tell', 'write', 'name', 'sand', 'tell', 'write', 'name', 'sand', 'beach', 'try', 'twig', 'beach', 'try', 'twig', 'beach', 'try', 'twig', 'first', 'wave', 'wash', 'away', 'give', 'first', 'wave', 'wash', 'away']"
But if I give first wave washes it away.,"['give', 'first', 'wave', 'wash', 'away']"
"But if I give you<00:06:46.880><c> a</c><00:06:47.039><c> thick</c><00:06:47.360><c> branch,</c><00:06:48.000><c> you</c><00:06:48.240><c> carve</c><00:06:48.639><c> it</c><00:06:48.800><c> in.</c><00:06:49.199><c> You</c> you a thick branch, you carve it in.","['give', 'thick', 'branch', 'carve', 'thick', 'branch', 'carve']"
"You you a thick branch, you carve it in.","['thick', 'branch', 'carve']"
You repeat<00:06:49.680><c> those</c><00:06:49.919><c> letters.</c><00:06:50.160><c> It's</c><00:06:50.319><c> going</c><00:06:50.400><c> to</c><00:06:50.479><c> take</c> repeat those letters.,"['repeat', 'letter', 'going', 'take', 'repeat', 'letter']"
It's going to take repeat those letters.,"['going', 'take', 'repeat', 'letter']"
It's going to take a<00:06:50.720><c> whole</c><00:06:50.800><c> lot</c><00:06:50.960><c> of</c><00:06:51.039><c> waves</c><00:06:51.360><c> until</c><00:06:51.680><c> there's</c><00:06:51.919><c> no</c> a whole lot of waves until there's no a whole lot of waves until there's no trace.<00:06:52.720><c> So</c><00:06:52.960><c> here's</c><00:06:53.199><c> what</c><00:06:53.440><c> each</c><00:06:53.680><c> of</c><00:06:53.759><c> you</c><00:06:53.919><c> is</c> trace.,"['going', 'take', 'whole', 'lot', 'wave', 'there', 'whole', 'lot', 'wave', 'there', 'whole', 'lot', 'wave', 'there', 'trace', 'here', 'trace']"
So here's what each of you is trace.,"['here', 'trace']"
So here's what each of you is going<00:06:54.160><c> to</c><00:06:54.319><c> do.</c><00:06:54.479><c> I</c><00:06:54.639><c> challenge</c><00:06:54.880><c> you.</c><00:06:55.280><c> When</c><00:06:55.440><c> you</c> going to do.,"['here', 'going', 'challenge', 'going']"
I challenge you.,['challenge']
When you going to do.,['going']
I challenge you.,['challenge']
"When you meet<00:06:55.919><c> the</c><00:06:56.160><c> next</c><00:06:56.400><c> person,</c><00:06:57.759><c> make</c><00:06:58.000><c> your</c><00:06:58.160><c> mind</c><00:06:58.319><c> a</c> meet the next person, make your mind a meet the next person, make your mind a blank<00:06:58.880><c> for</c><00:06:59.039><c> all</c><00:06:59.199><c> of</c><00:06:59.440><c> two</c><00:06:59.599><c> seconds.</c><00:06:59.919><c> When</c><00:07:00.080><c> they</c> blank for all of two seconds.","['meet', 'next', 'person', 'make', 'mind', 'meet', 'next', 'person', 'make', 'mind', 'meet', 'next', 'person', 'make', 'mind', 'blank', 'two', 'second', 'blank', 'two', 'second']"
When they blank for all of two seconds.,"['blank', 'two', 'second']"
"When they say<00:07:00.400><c> their</c><00:07:00.639><c> name,</c><00:07:00.880><c> truly</c><00:07:01.360><c> listen.</c><00:07:02.080><c> And</c><00:07:02.319><c> now</c> say their name, truly listen.","['say', 'name', 'truly', 'listen', 'say', 'name', 'truly', 'listen']"
"And now say their name, truly listen.","['say', 'name', 'truly', 'listen']"
And now repeat.<00:07:03.199><c> Everybody</c><00:07:03.520><c> say</c><00:07:03.599><c> it</c><00:07:03.680><c> with</c><00:07:03.840><c> me.</c> repeat.,"['repeat', 'everybody', 'say', 'repeat']"
Everybody say it with me.,"['everybody', 'say']"
repeat.,['repeat']
Everybody say it with me.,"['everybody', 'say']"
Repeat.,['repeat']
Repeat.,['repeat']
Repeat.,['repeat']
&gt;&gt; Repeat.<00:07:05.360><c> We</c><00:07:05.680><c> are</c><00:07:05.840><c> going</c><00:07:06.000><c> to</c><00:07:06.240><c> say</c><00:07:06.639><c> their</c><00:07:06.960><c> name</c> &gt;&gt; Repeat.,"['gtgt', 'repeat', 'going', 'say', 'name', 'gtgt', 'repeat']"
We are going to say their name &gt;&gt; Repeat.,"['going', 'say', 'name', 'gtgt', 'repeat']"
"We are going to say their name twice<00:07:07.680><c> back</c><00:07:07.919><c> to</c><00:07:08.080><c> them.</c><00:07:08.639><c> Right.</c><00:07:09.199><c> Ashley,</c><00:07:10.080><c> is</c> twice back to them.","['going', 'say', 'name', 'twice', 'back', 'right', 'ashley', 'twice', 'back']"
Right.,['right']
"Ashley, is twice back to them.","['ashley', 'twice', 'back']"
Right.,['right']
"Ashley, is that<00:07:10.400><c> right?</c><00:07:10.720><c> Great</c><00:07:10.960><c> to</c><00:07:11.039><c> meet</c><00:07:11.199><c> you,</c><00:07:11.440><c> Ashley.</c> that right?","['ashley', 'right', 'great', 'meet', 'ashley', 'right']"
"Great to meet you, Ashley.","['great', 'meet', 'ashley']"
that right?,['right']
"Great to meet you, Ashley.","['great', 'meet', 'ashley']"
"This<00:07:12.960><c> serves</c><00:07:13.280><c> two</c><00:07:13.520><c> purposes.</c><00:07:14.000><c> One,</c><00:07:14.319><c> it's</c><00:07:14.800><c> kind</c> This serves two purposes.","['serf', 'two', 'purpose', 'one', 'kind', 'serf', 'two', 'purpose']"
"One, it's kind This serves two purposes.","['one', 'kind', 'serf', 'two', 'purpose']"
"One, it's kind of<00:07:15.680><c> repetitively</c><00:07:16.319><c> ingrains</c><00:07:16.639><c> it</c><00:07:16.720><c> in</c><00:07:16.880><c> our</c> of repetitively ingrains it in our of repetitively ingrains it in our memory.<00:07:17.599><c> Second,</c><00:07:18.400><c> you</c><00:07:18.639><c> know</c><00:07:18.720><c> how</c><00:07:18.880><c> to</c> memory.","['one', 'kind', 'repetitively', 'ingrains', 'repetitively', 'ingrains', 'repetitively', 'ingrains', 'memory', 'second', 'know', 'memory']"
"Second, you know how to memory.","['second', 'know', 'memory']"
"Second, you know how to pronounce<00:07:19.199><c> it</c><00:07:19.360><c> correctly.</c><00:07:19.759><c> Nera,</c><00:07:20.160><c> am</c><00:07:20.240><c> I</c> pronounce it correctly.","['second', 'know', 'pronounce', 'correctly', 'nera', 'pronounce', 'correctly']"
"Nera, am I pronounce it correctly.","['nera', 'pronounce', 'correctly']"
"Nera, am I saying<00:07:20.400><c> that</c><00:07:20.560><c> right?</c><00:07:20.720><c> Nera.</c><00:07:21.360><c> See,</c><00:07:21.599><c> there</c><00:07:21.759><c> was</c> saying that right?","['nera', 'saying', 'right', 'nera', 'see', 'saying', 'right']"
Nera.,['nera']
"See, there was saying that right?","['see', 'saying', 'right']"
Nera.,['nera']
"See, there was a<00:07:22.080><c> reason</c><00:07:22.240><c> I</c><00:07:22.479><c> did</c><00:07:22.639><c> that.</c><00:07:24.000><c> Third,</c><00:07:24.960><c> third,</c> a reason I did that.","['see', 'reason', 'third', 'third', 'reason']"
"Third, third, a reason I did that.","['third', 'third', 'reason']"
"Third, third, reply.<00:07:26.639><c> Listen,</c><00:07:27.120><c> repeat.</c><00:07:28.000><c> Reply.</c><00:07:28.800><c> Reply</c><00:07:29.199><c> is</c> reply.","['third', 'third', 'reply', 'listen', 'repeat', 'reply', 'reply', 'reply']"
"Listen, repeat.","['listen', 'repeat']"
Reply.,['reply']
Reply is reply.,"['reply', 'reply']"
"Listen, repeat.","['listen', 'repeat']"
Reply.,['reply']
Reply is where<00:07:29.520><c> we</c><00:07:29.680><c> fully</c><00:07:29.919><c> cement</c><00:07:30.319><c> the</c><00:07:30.479><c> name</c><00:07:30.639><c> in.</c><00:07:30.960><c> Here</c> where we fully cement the name in.,"['reply', 'fully', 'cement', 'name', 'fully', 'cement', 'name']"
Here where we fully cement the name in.,"['fully', 'cement', 'name']"
Here is<00:07:31.280><c> how</c><00:07:31.440><c> we</c><00:07:31.599><c> do</c><00:07:31.680><c> that.</c><00:07:31.919><c> I'll</c><00:07:32.080><c> give</c><00:07:32.160><c> you</c><00:07:32.319><c> three</c> is how we do that.,"['ill', 'give', 'three']"
I'll give you three is how we do that.,"['ill', 'give', 'three']"
"I'll give you three examples.<00:07:33.039><c> First</c><00:07:33.280><c> one,</c><00:07:33.759><c> a</c><00:07:34.000><c> compliment.</c> examples.","['ill', 'give', 'three', 'example', 'first', 'one', 'compliment', 'example']"
"First one, a compliment.","['first', 'one', 'compliment']"
examples.,['example']
"First one, a compliment.","['first', 'one', 'compliment']"
"Everyone<00:07:34.800><c> loves</c><00:07:34.960><c> a</c><00:07:35.120><c> good</c><00:07:35.280><c> compliment,</c><00:07:36.240><c> right,</c> Everyone loves a good compliment, right, Everyone loves a good compliment, right, Ashley?<00:07:37.039><c> Those</c><00:07:37.199><c> earrings.</c><00:07:37.599><c> I</c><00:07:37.759><c> love</c><00:07:37.919><c> those</c> Ashley?","['everyone', 'love', 'good', 'compliment', 'right', 'everyone', 'love', 'good', 'compliment', 'right', 'everyone', 'love', 'good', 'compliment', 'right', 'ashley', 'earring', 'love', 'ashley']"
Those earrings.,['earring']
I love those Ashley?,"['love', 'ashley']"
Those earrings.,['earring']
"I love those earrings.<00:07:38.479><c> Ashley,</c><00:07:39.360><c> now</c><00:07:39.599><c> she's</c><00:07:39.919><c> Ashley</c><00:07:40.240><c> with</c> earrings.","['love', 'earring', 'ashley', 'shes', 'ashley', 'earring']"
"Ashley, now she's Ashley with earrings.","['ashley', 'shes', 'ashley', 'earring']"
"Ashley, now she's Ashley with the<00:07:40.479><c> earrings.</c><00:07:40.880><c> A</c><00:07:41.120><c> visual</c><00:07:41.520><c> indicator.</c> the earrings.","['ashley', 'shes', 'ashley', 'earring', 'visual', 'indicator', 'earring']"
A visual indicator.,"['visual', 'indicator']"
the earrings.,['earring']
A visual indicator.,"['visual', 'indicator']"
"Next<00:07:43.360><c> up,</c><00:07:43.919><c> spelling.</c><00:07:44.800><c> Do</c><00:07:44.960><c> you</c><00:07:45.120><c> spell</c><00:07:45.280><c> that,</c> Next up, spelling.","['next', 'spelling', 'spell', 'next', 'spelling']"
"Do you spell that, Next up, spelling.","['spell', 'next', 'spelling']"
"Do you spell that, Ashley?<00:07:45.919><c> With</c><00:07:46.000><c> an</c><00:07:46.160><c> ei</c><00:07:46.560><c> gh</c><00:07:47.039><c> or</c><00:07:47.199><c> with</c><00:07:47.360><c> an</c><00:07:47.520><c> ey?</c><00:07:48.160><c> Ey,</c> Ashley?","['spell', 'ashley', 'ashley']"
With an ei gh or with an ey?,[]
"Ey, Ashley?",['ashley']
With an ei gh or with an ey?,[]
"Ey, of<00:07:48.720><c> course.</c><00:07:48.880><c> That's</c><00:07:49.039><c> the</c><00:07:49.199><c> right</c><00:07:49.360><c> spelling,</c> of course.","['course', 'thats', 'right', 'spelling', 'course']"
"That's the right spelling, of course.","['thats', 'right', 'spelling', 'course']"
"That's the right spelling, Ashley.<00:07:50.080><c> I</c><00:07:50.160><c> knew.</c><00:07:50.400><c> I</c><00:07:50.560><c> knew.</c><00:07:51.199><c> Or</c><00:07:52.080><c> third,</c><00:07:52.479><c> a</c> Ashley.","['thats', 'right', 'spelling', 'ashley', 'knew', 'knew', 'third', 'ashley']"
I knew.,['knew']
I knew.,['knew']
"Or third, a Ashley.","['third', 'ashley']"
I knew.,['knew']
I knew.,['knew']
"Or third, a personal<00:07:53.120><c> connection.</c><00:07:54.400><c> Ashley,</c><00:07:54.960><c> that's</c><00:07:55.120><c> so</c> personal connection.","['third', 'personal', 'connection', 'ashley', 'thats', 'personal', 'connection']"
"Ashley, that's so personal connection.","['ashley', 'thats', 'personal', 'connection']"
"Ashley, that's so funny.<00:07:55.919><c> My</c><00:07:56.160><c> cousin's</c><00:07:56.479><c> married</c><00:07:56.720><c> to</c><00:07:56.800><c> an</c><00:07:56.960><c> Ashley.</c> funny.","['ashley', 'thats', 'funny', 'cousin', 'married', 'ashley', 'funny']"
My cousin's married to an Ashley.,"['cousin', 'married', 'ashley']"
funny.,['funny']
My cousin's married to an Ashley.,"['cousin', 'married', 'ashley']"
Is<00:07:57.680><c> my</c><00:07:57.840><c> cousin</c><00:07:58.080><c> really</c><00:07:58.319><c> married</c><00:07:58.479><c> to</c><00:07:58.560><c> an</c> Is my cousin really married to an Is my cousin really married to an Ashley?<00:07:59.120><c> Absolutely</c><00:07:59.360><c> not.</c><00:07:59.599><c> I'm</c><00:07:59.759><c> a</c><00:07:59.919><c> total</c> Ashley?,"['cousin', 'really', 'married', 'cousin', 'really', 'married', 'cousin', 'really', 'married', 'ashley', 'absolutely', 'total', 'ashley']"
Absolutely not.,['absolutely']
I'm a total Ashley?,"['total', 'ashley']"
Absolutely not.,['absolutely']
I'm a total liar.,"['total', 'liar']"
liar.,['liar']
liar.,['liar']
But<00:08:03.039><c> none</c><00:08:03.280><c> of</c><00:08:03.440><c> you</c><00:08:03.680><c> will</c><00:08:03.919><c> forget</c><00:08:04.240><c> the</c><00:08:04.400><c> name</c> But none of you will forget the name But none of you will forget the name Ashley Ashley Ashley and<00:08:06.800><c> neither</c><00:08:07.120><c> will</c><00:08:07.280><c> I.</c><00:08:07.919><c> And</c><00:08:08.160><c> neither</c><00:08:08.479><c> will</c><00:08:08.639><c> we</c> and neither will I.,"['none', 'forget', 'name', 'none', 'forget', 'name', 'none', 'forget', 'name', 'ashley', 'ashley', 'ashley', 'neither', 'neither', 'neither']"
And neither will we and neither will I.,"['neither', 'neither']"
And neither will we forget<00:08:09.039><c> Nera</c><00:08:09.680><c> after</c><00:08:09.840><c> I</c><00:08:10.000><c> said</c><00:08:10.160><c> her</c><00:08:10.319><c> name</c> forget Nera after I said her name forget Nera after I said her name multiplied.<00:08:10.960><c> Nera</c><00:08:12.160><c> I</c><00:08:12.479><c> think</c><00:08:13.039><c> again</c><00:08:13.520><c> rouging</c> multiplied.,"['neither', 'forget', 'nera', 'said', 'name', 'forget', 'nera', 'said', 'name', 'forget', 'nera', 'said', 'name', 'multiplied', 'nera', 'think', 'rouging', 'multiplied']"
Nera I think again rouging multiplied.,"['nera', 'think', 'rouging', 'multiplied']"
Nera I think again rouging of<00:08:14.080><c> the</c><00:08:14.240><c> cheeks</c><00:08:15.120><c> little</c><00:08:15.520><c> sweat</c><00:08:16.560><c> your</c><00:08:16.879><c> person</c> of the cheeks little sweat your person of the cheeks little sweat your person is<00:08:17.280><c> alive</c><00:08:17.599><c> also.</c><00:08:17.919><c> Am</c><00:08:18.080><c> I</c><00:08:18.240><c> correct?</c> is alive also.,"['nera', 'think', 'rouging', 'cheek', 'little', 'sweat', 'person', 'cheek', 'little', 'sweat', 'person', 'cheek', 'little', 'sweat', 'person', 'alive', 'also', 'correct', 'alive', 'also']"
Am I correct?,['correct']
is alive also.,"['alive', 'also']"
Am I correct?,['correct']
&gt;&gt; Correct.,"['gtgt', 'correct']"
&gt;&gt; Correct.,"['gtgt', 'correct']"
&gt;&gt; Correct.,"['gtgt', 'correct']"
&gt;&gt; Now<00:08:19.680><c> what</c><00:08:19.919><c> I</c><00:08:20.160><c> do</c><00:08:20.319><c> in</c><00:08:20.639><c> my</c><00:08:20.800><c> profession</c><00:08:21.440><c> is</c><00:08:21.680><c> I</c><00:08:21.919><c> take</c> &gt;&gt; Now what I do in my profession is I take &gt;&gt; Now what I do in my profession is I take things<00:08:22.319><c> that</c><00:08:22.560><c> appear</c><00:08:22.879><c> to</c><00:08:23.120><c> have</c><00:08:23.440><c> limitless</c> things that appear to have limitless things that appear to have limitless possibilities<00:08:24.560><c> and</c><00:08:24.800><c> break</c><00:08:25.039><c> them</c><00:08:25.280><c> down.</c> possibilities and break them down.,"['gtgt', 'profession', 'take', 'gtgt', 'profession', 'take', 'gtgt', 'profession', 'take', 'thing', 'appear', 'limitless', 'thing', 'appear', 'limitless', 'thing', 'appear', 'limitless', 'possibility', 'break', 'possibility', 'break']"
possibilities and break them down.,"['possibility', 'break']"
People<00:08:26.720><c> that</c><00:08:26.879><c> are</c><00:08:27.039><c> famous</c><00:08:27.520><c> there's</c><00:08:27.840><c> several</c> People that are famous there's several People that are famous there's several kind<00:08:28.720><c> of</c><00:08:29.120><c> categories.</c><00:08:29.759><c> I'm</c><00:08:29.919><c> going</c><00:08:30.000><c> to</c><00:08:30.080><c> say</c> kind of categories.,"['people', 'famous', 'there', 'several', 'people', 'famous', 'there', 'several', 'people', 'famous', 'there', 'several', 'kind', 'category', 'going', 'say', 'kind', 'category']"
I'm going to say kind of categories.,"['going', 'say', 'kind', 'category']"
I'm going to say them<00:08:30.400><c> quickly.</c><00:08:30.720><c> You</c><00:08:30.879><c> don't</c><00:08:30.960><c> have</c><00:08:31.039><c> to</c><00:08:31.199><c> nod.</c><00:08:31.919><c> But</c> them quickly.,"['going', 'say', 'quickly', 'dont', 'nod', 'quickly']"
You don't have to nod.,"['dont', 'nod']"
But them quickly.,['quickly']
You don't have to nod.,"['dont', 'nod']"
But we<00:08:32.320><c> had</c><00:08:33.039><c> a</c><00:08:33.360><c> conqueror.</c><00:08:33.839><c> Let's</c><00:08:34.000><c> call</c><00:08:34.080><c> it</c><00:08:34.159><c> a</c> we had a conqueror.,"['conqueror', 'let', 'call', 'conqueror']"
Let's call it a we had a conqueror.,"['let', 'call', 'conqueror']"
"Let's call it a historical<00:08:34.800><c> figure.</c><00:08:35.279><c> We</c><00:08:35.519><c> have</c><00:08:35.680><c> singers,</c> historical figure.","['let', 'call', 'historical', 'figure', 'singer', 'historical', 'figure']"
"We have singers, historical figure.","['singer', 'historical', 'figure']"
"We have singers, movie<00:08:36.640><c> stars,</c><00:08:37.360><c> we</c><00:08:37.519><c> have</c><00:08:37.760><c> athletes,</c> movie stars, we have athletes, movie stars, we have athletes, comedians,<00:08:38.800><c> politicians</c><00:08:39.279><c> already</c> comedians, politicians already comedians, politicians already registered<00:08:39.919><c> a</c><00:08:40.080><c> hit.</c><00:08:40.479><c> Too</c><00:08:40.800><c> funny.</c><00:08:41.120><c> Too</c><00:08:41.360><c> funny.</c> registered a hit.","['singer', 'movie', 'star', 'athlete', 'movie', 'star', 'athlete', 'movie', 'star', 'athlete', 'comedian', 'politician', 'already', 'comedian', 'politician', 'already', 'comedian', 'politician', 'already', 'registered', 'hit', 'funny', 'funny', 'registered', 'hit']"
Too funny.,['funny']
Too funny.,['funny']
registered a hit.,"['registered', 'hit']"
Too funny.,['funny']
Too funny.,['funny']
You<00:08:41.760><c> did</c><00:08:41.919><c> this.</c><00:08:42.159><c> All</c><00:08:42.240><c> right.</c><00:08:43.680><c> Shouldn't</c><00:08:44.080><c> have</c> You did this.,"['right', 'shouldnt']"
All right.,['right']
Shouldn't have You did this.,['shouldnt']
All right.,['right']
"Shouldn't have smiled.<00:08:44.640><c> Tighten</c><00:08:44.959><c> it</c><00:08:45.040><c> up.</c><00:08:45.200><c> Njira.</c> [Applause] [Applause] [Applause] Three<00:08:54.399><c> days</c><00:08:54.640><c> ago.</c><00:08:54.959><c> I</c><00:08:55.120><c> did</c><00:08:55.200><c> a</c><00:08:55.360><c> show</c><00:08:55.519><c> in</c><00:08:55.680><c> Dallas,</c> Three days ago.","['shouldnt', 'smiled', 'tighten', 'njira', 'three', 'day', 'ago', 'show', 'dallas', 'three', 'day', 'ago']"
"I did a show in Dallas, Three days ago.","['show', 'dallas', 'three', 'day', 'ago']"
"I did a show in Dallas, Texas.<00:08:57.200><c> Dallas,</c><00:08:57.760><c> Texas.</c><00:08:58.720><c> And</c><00:08:58.880><c> the</c><00:08:59.200><c> last</c> Texas.","['show', 'dallas', 'texas', 'dallas', 'texas', 'last', 'texas']"
"Dallas, Texas.","['dallas', 'texas']"
And the last Texas.,"['last', 'texas']"
"Dallas, Texas.","['dallas', 'texas']"
And the last person<00:08:59.920><c> standing</c><00:09:00.959><c> thought</c><00:09:01.120><c> of</c><00:09:01.279><c> a</c><00:09:01.440><c> singer.</c> person standing thought of a singer.,"['last', 'person', 'standing', 'thought', 'singer', 'person', 'standing', 'thought', 'singer']"
person standing thought of a singer.,"['person', 'standing', 'thought', 'singer']"
It's<00:09:02.080><c> always</c><00:09:02.480><c> singers</c><00:09:02.959><c> where</c><00:09:03.200><c> this</c><00:09:03.440><c> happens.</c> It's always singers where this happens.,"['always', 'singer', 'happens', 'always', 'singer', 'happens']"
It's always singers where this happens.,"['always', 'singer', 'happens']"
I<00:09:05.120><c> got</c><00:09:05.440><c> his</c><00:09:05.760><c> singer</c><00:09:06.160><c> correct</c><00:09:06.640><c> and</c><00:09:06.959><c> he</c><00:09:07.120><c> didn't</c> I got his singer correct and he didn't I got his singer correct and he didn't sit<00:09:07.519><c> down.</c><00:09:07.680><c> And</c><00:09:07.839><c> do</c><00:09:07.920><c> you</c><00:09:08.000><c> know</c><00:09:08.080><c> what</c><00:09:08.240><c> he</c><00:09:08.320><c> said</c> sit down.,"['got', 'singer', 'correct', 'didnt', 'got', 'singer', 'correct', 'didnt', 'got', 'singer', 'correct', 'didnt', 'sit', 'know', 'said', 'sit']"
And do you know what he said sit down.,"['know', 'said', 'sit']"
"And do you know what he said to<00:09:08.640><c> me?</c><00:09:09.200><c> I</c><00:09:09.440><c> go,</c><00:09:09.839><c> ""Sir,</c><00:09:10.320><c> you</c><00:09:10.480><c> know</c><00:09:10.560><c> why</c><00:09:10.720><c> isn't</c><00:09:10.880><c> he</c> to me?","['know', 'said', 'sir', 'know', 'isnt']"
"I go, ""Sir, you know why isn't he to me?","['sir', 'know', 'isnt']"
"I go, ""Sir, you know why isn't he sitting<00:09:11.120><c> down?""</c><00:09:11.360><c> He</c><00:09:11.440><c> goes,</c><00:09:11.519><c> ""Oh</c><00:09:11.920><c> yeah,</c><00:09:12.640><c> what</c> sitting down?"" He goes, ""Oh yeah, what sitting down?"" He goes, ""Oh yeah, what song<00:09:13.120><c> am</c><00:09:13.279><c> I</c><00:09:13.440><c> thinking</c><00:09:13.680><c> of?""</c> song am I thinking of?"" song am I thinking of?"" I'm<00:09:16.240><c> like,</c><00:09:16.320><c> ""Buddy,</c><00:09:16.880><c> this</c><00:09:17.040><c> is</c><00:09:17.200><c> not</c><00:09:17.440><c> Netflix.""</c> I'm like, ""Buddy, this is not Netflix."" I'm like, ""Buddy, this is not Netflix."" always<00:09:20.800><c> singers.</c> Tell<00:09:25.360><c> us</c><00:09:25.600><c> all</c><00:09:26.399><c> who</c><00:09:26.959><c> in</c><00:09:27.279><c> your</c><00:09:27.440><c> mind</c><00:09:27.680><c> is</c><00:09:27.920><c> sitting</c> Tell us all who in your mind is sitting Tell us all who in your mind is sitting across<00:09:28.560><c> from</c><00:09:28.720><c> you</c><00:09:29.200><c> having</c><00:09:29.600><c> dinner.</c><00:09:30.080><c> You're</c><00:09:30.320><c> on</c> across from you having dinner.","['sir', 'know', 'isnt', 'sitting', 'go', 'yeah', 'sitting', 'go', 'yeah', 'sitting', 'go', 'yeah', 'song', 'thinking', 'song', 'thinking', 'song', 'thinking', 'like', 'buddy', 'netflix', 'like', 'buddy', 'netflix', 'like', 'buddy', 'netflix', 'always', 'singer', 'tell', 'mind', 'sitting', 'tell', 'mind', 'sitting', 'tell', 'mind', 'sitting', 'across', 'dinner', 'youre', 'across', 'dinner']"
You're on across from you having dinner.,"['youre', 'across', 'dinner']"
You're on the<00:09:30.560><c> edge</c><00:09:30.720><c> of</c><00:09:30.800><c> your</c><00:09:30.959><c> seat.</c><00:09:31.279><c> Tell</c><00:09:31.360><c> us</c><00:09:31.519><c> all.</c> the edge of your seat.,"['youre', 'edge', 'seat', 'tell', 'edge', 'seat']"
Tell us all.,['tell']
the edge of your seat.,"['edge', 'seat']"
Tell us all.,['tell']
What's<00:09:31.920><c> their</c><00:09:32.160><c> name?</c> What's their name?,"['whats', 'name', 'whats', 'name']"
What's their name?,"['whats', 'name']"
&gt;&gt; Bob<00:09:33.200><c> Dylan.</c><00:09:34.320><c> Bob</c><00:09:34.640><c> Dylan.</c> &gt;&gt; Bob Dylan.,"['gtgt', 'bob', 'dylan', 'bob', 'dylan', 'gtgt', 'bob', 'dylan']"
Bob Dylan.,"['bob', 'dylan']"
&gt;&gt; Bob Dylan.,"['gtgt', 'bob', 'dylan']"
Bob Dylan.,"['bob', 'dylan']"
&gt;&gt; I<00:09:37.040><c> couldn't</c><00:09:37.200><c> hear</c><00:09:37.360><c> you.</c> &gt;&gt; I couldn't hear you.,"['gtgt', 'couldnt', 'hear', 'gtgt', 'couldnt', 'hear']"
&gt;&gt; I couldn't hear you.,"['gtgt', 'couldnt', 'hear']"
&gt;&gt; Bob<00:09:38.399><c> Dylan.</c> &gt;&gt; Bob Dylan.,"['gtgt', 'bob', 'dylan', 'gtgt', 'bob', 'dylan']"
&gt;&gt; Bob Dylan.,"['gtgt', 'bob', 'dylan']"
&gt;&gt; Bob<00:09:39.279><c> Dylan.</c><00:09:39.600><c> Can</c><00:09:39.680><c> I</c><00:09:39.760><c> ask</c><00:09:39.839><c> you</c><00:09:40.000><c> a</c><00:09:40.160><c> question?</c><00:09:40.399><c> I</c> &gt;&gt; Bob Dylan.,"['gtgt', 'bob', 'dylan', 'ask', 'question', 'gtgt', 'bob', 'dylan']"
Can I ask you a question?,"['ask', 'question']"
I &gt;&gt; Bob Dylan.,"['gtgt', 'bob', 'dylan']"
Can I ask you a question?,"['ask', 'question']"
I always<00:09:40.720><c> like</c><00:09:40.959><c> this.</c><00:09:41.279><c> Everyone</c><00:09:41.680><c> listen</c><00:09:41.839><c> to</c><00:09:42.000><c> me.</c> always like this.,"['always', 'like', 'everyone', 'listen', 'always', 'like']"
Everyone listen to me.,"['everyone', 'listen']"
always like this.,"['always', 'like']"
Everyone listen to me.,"['everyone', 'listen']"
